,Username,Tweet,Date,Compound,Positive,Neutral,Negative,Tweets Ago
54,@nytimes,"Anthony Bourdain’s death prompted an outpouring of grief and tributes from friends and fans. ""He brought the world… https://t.co/8KPrY5Jcub",Fri Jun 08 18:01:06 +0000 2018,-0.6124,0.118,0.271,0.611,55
55,@nytimes,"If you or someone else you know is having thoughts of suicide, call the National Suicide Prevention Lifeline at 1-8… https://t.co/8O0weidp1A",Fri Jun 08 17:47:47 +0000 2018,-0.875,0.0,0.321,0.679,56
56,@nytimes,"Suicide rates rose steadily in nearly every state in the U.S. from 1999 to 2016, often by as much as 30 percent, th… https://t.co/clQkNmFV1u",Fri Jun 08 17:46:06 +0000 2018,-0.6705,0.0,0.164,0.836,57
57,@nytimes,Trump’s surprise call to reinstate Russia in the Group of 7 nations further stirred tension with America’s allies o… https://t.co/we8fzXQv2g,Fri Jun 08 17:31:06 +0000 2018,-0.0516,0.098,0.107,0.794,58
58,@nytimes,The U.S. just beat out China to develop the world’s fastest supercomputer. You’d need 63 billion years to match wha… https://t.co/Rf0IgLg6KN,Fri Jun 08 17:16:06 +0000 2018,0.0,0.0,0.0,1.0,59
59,@nytimes,"In November 2017, @nytimesbooks asked Anthony Bourdain who he'd want to write his life story. His response? ""I alre… https://t.co/TZENXm0hcq",Fri Jun 08 17:01:03 +0000 2018,0.0772,0.064,0.0,0.936,60
60,@nytimes,Hear the story of the life and death of Nook in a new Times audio series: https://t.co/0HH8y791t0,Fri Jun 08 16:48:29 +0000 2018,-0.5994,0.0,0.206,0.794,61
61,@nytimes,"He was killed a year and a half after Freddie Gray, who died from injuries sustained while in police custody. 

The… https://t.co/YylSGceGRg",Fri Jun 08 16:40:43 +0000 2018,-0.8442,0.0,0.31,0.69,62
62,@nytimes,"Toby Douglas has been searching for the truth in the death of her son, Nook. He was 18 when he was shot dead by a p… https://t.co/0sefB5RAcA",Fri Jun 08 16:36:34 +0000 2018,-0.7845,0.069,0.245,0.687,63
63,@nytimes,"""But this is what I don’t get: It took me 5 months to find out how many times my son was shot."" https://t.co/bPyPZ2nuCr",Fri Jun 08 16:29:44 +0000 2018,0.0,0.0,0.0,1.0,64
64,@nytimes,"President Trump revealed new details about Melania Trump’s condition, saying “a big operation” kept her from travel… https://t.co/SPN5NRfxbk",Fri Jun 08 16:16:04 +0000 2018,0.0,0.0,0.0,1.0,65
65,@nytimes,"RT @poniewozik: ""Anthony Bourdain understood that eating was simply a way of taking the world inside you."" On his TV shows, one part of a b…",Fri Jun 08 16:01:03 +0000 2018,0.0,0.0,0.0,1.0,66
66,@nytimes,Trump said he’s considering pardoning Muhammad Ali. But his conviction was overturned in 1971. https://t.co/ikLLf3cNaJ,Fri Jun 08 15:46:04 +0000 2018,0.2144,0.117,0.0,0.883,67
67,@nytimes,"RT @kimseverson: Our updated Bourdain story, with exclusive comment from @ericripert.  https://t.co/OO6mmijKFl",Fri Jun 08 15:29:03 +0000 2018,0.128,0.12,0.0,0.88,68
68,@nytimes,"2 years ago, we asked Anthony Bourdain to answer a series of questions. He sketched his answers, with a Sharpie and… https://t.co/o813eeMuXF",Fri Jun 08 15:24:28 +0000 2018,0.0,0.0,0.0,1.0,69
69,@nytimes,"14 million Facebook users who thought they were creating private posts last month were, in fact, making public post… https://t.co/KH5KxybJtT",Fri Jun 08 15:00:17 +0000 2018,0.296,0.104,0.0,0.896,70
70,@nytimes,RT @nytpolitics: How does The New York Times decide whether to publish leaked information about national security? We're glad you asked. ht…,Fri Jun 08 14:46:06 +0000 2018,0.4767,0.202,0.086,0.712,71
71,@nytimes,What to do when a loved one is severely depressed https://t.co/3Qd32EdtdY,Fri Jun 08 14:31:04 +0000 2018,-0.34,0.227,0.366,0.407,72
72,@nytimes,"At least 35 people were killed when Russian warplanes attacked a rebel-held village in northwestern Syria, a Syrian… https://t.co/J2x1F10SMO",Fri Jun 08 14:16:05 +0000 2018,-0.8176,0.0,0.333,0.667,73
73,@nytimes,"""It's a bit like therapy. People who are marginalized or not cisgender are doing it because it's urgent,"" the write… https://t.co/8AzwXDWuNa",Fri Jun 08 14:06:05 +0000 2018,0.3612,0.116,0.0,0.884,74
74,@nytimes,"""Quick reminder: The fallout from this meeting could be actual fallout."" Stephen Colbert wants Trump to prepare mor… https://t.co/ss2rnFWFXb",Fri Jun 08 13:45:09 +0000 2018,0.0,0.0,0.0,1.0,75
75,@nytimes,The Israeli military published a video aimed at showing that a Palestinian medic killed by Israeli forces was not t… https://t.co/SDbAs84ueG,Fri Jun 08 13:31:07 +0000 2018,-0.6705,0.0,0.2,0.8,76
76,@nytimes,"Two journalists, who helped lead a project to which prosecutors say Paul Manafort funneled more than $2 million fro… https://t.co/JCzKqPc4GE",Fri Jun 08 13:21:02 +0000 2018,0.0258,0.058,0.0,0.942,77
77,@nytimes,"The president said he looked forward to addressing ""unfair Trade Deals"" with Britain, Canada, France, Germany, Ital… https://t.co/xVSjYdcTpH",Fri Jun 08 13:11:04 +0000 2018,-0.4767,0.0,0.154,0.846,78
